Sport,mean,"('Height', 'First Year')","('Height', 'Latest Year')","('Weight', 'First Year')","('Weight', 'Latest Year')","('Height', 'change')","('Weight', 'change')"
Alpine Skiing,22.3,164.0,172.0,58.0,72.0,8.0,14.0
Alpinism,43.0,175.33896987366376,175.33896987366376,70.70239290053351,70.70239290053351,0.0,0.0
Archery,26.5,165.0,169.0,57.0,63.0,4.0,6.0
Art Competitions,39.7,175.33896987366376,175.33896987366376,70.70239290053351,70.70239290053351,0.0,0.0
Athletics,24.9,168.0,171.0,70.70239290053351,64.0,3.0,-6.7023929005335106
Badminton,25.0,175.33896987366376,175.0,70.70239290053351,65.0,-0.33896987366375697,-5.7023929005335106
Basketball,25.5,185.0,171.0,72.0,69.0,-14.0,-3.0
Beach Volleyball,28.3,163.0,172.0,55.0,64.0,9.0,9.0
Biathlon,25.8,171.0,176.0,65.0,62.0,5.0,-3.0
Bobsleigh,27.8,175.0,158.0,71.0,66.0,-17.0,-5.0
Boxing,26.6,164.0,167.0,51.0,60.0,3.0,9.0
Canoeing,25.3,165.0,178.0,58.0,78.0,13.0,20.0
Croquet,34.9,175.33896987366376,175.33896987366376,70.70239290053351,70.70239290053351,0.0,0.0
Cross Country Skiing,25.7,175.33896987366376,161.0,70.70239290053351,53.0,-14.338969873663757,-17.70239290053351
Curling,30.0,164.0,162.0,69.0,60.0,-2.0,-9.0
Cycling,26.9,163.0,188.0,60.0,71.0,25.0,11.0
Diving,21.6,172.0,175.33896987366376,61.0,70.70239290053351,3.338969873663757,9.70239290053351
Equestrianism,34.2,167.0,175.33896987366376,58.0,70.70239290053351,8.338969873663757,12.70239290053351
Fencing,26.3,166.0,173.0,61.0,77.0,7.0,16.0
Figure Skating,20.8,150.0,158.0,43.0,70.70239290053351,8.0,27.70239290053351
Football,24.9,182.0,179.0,64.0,69.0,-3.0,5.0
Freestyle Skiing,24.3,162.0,168.0,51.0,60.0,6.0,9.0
Golf,27.3,175.33896987366376,173.0,70.70239290053351,77.0,-2.338969873663757,6.2976070994664894
Gymnastics,19.3,160.0,175.33896987366376,48.0,70.70239290053351,15.338969873663757,22.70239290053351
Handball,25.9,163.0,175.33896987366376,70.70239290053351,70.70239290053351,12.338969873663757,0.0
Hockey,25.3,175.33896987366376,167.0,70.70239290053351,60.0,-8.338969873663757,-10.70239290053351
Ice Hockey,24.1,156.0,170.0,51.0,73.0,14.0,22.0
Judo,25.2,175.33896987366376,181.0,62.0,78.0,5.661030126336243,16.0
Luge,23.6,169.0,157.0,65.0,69.0,-12.0,4.0
Modern Pentathlon,25.5,168.0,168.0,58.0,58.0,0.0,0.0
Motorboating,26.0,175.33896987366376,175.33896987366376,70.70239290053351,70.70239290053351,0.0,0.0
Rhythmic Gymnastics,18.7,169.0,176.0,48.0,62.0,7.0,14.0
Rowing,25.4,182.0,183.0,73.0,75.0,1.0,2.0
Rugby Sevens,26.1,162.0,164.0,56.0,60.0,2.0,4.0
Sailing,26.7,159.0,174.0,55.5,67.0,15.0,11.5
Shooting,29.1,165.0,165.0,57.0,65.0,0.0,8.0
Short Track Speed Skating,22.5,176.0,169.0,54.0,53.0,-7.0,-1.0
Skeleton,27.6,170.0,173.0,68.0,59.0,3.0,-9.0
Ski Jumping,21.3,157.0,158.0,52.0,50.0,1.0,-2.0
Snowboarding,24.7,160.0,157.0,50.0,55.0,-3.0,5.0
Softball,26.3,191.0,168.0,88.0,60.0,-23.0,-28.0
Speed Skating,23.7,185.0,174.0,82.0,65.0,-11.0,-17.0
Swimming,19.5,173.0,182.0,59.0,71.0,9.0,12.0
Synchronized Swimming,22.4,167.0,167.0,60.0,57.0,0.0,-3.0
Table Tennis,25.7,160.0,163.0,53.0,56.0,3.0,3.0
Taekwondo,23.4,165.0,173.0,49.0,55.0,8.0,6.0
Tennis,24.8,175.33896987366376,172.0,70.70239290053351,59.0,-3.338969873663757,-11.70239290053351
Trampolining,25.5,162.0,167.0,54.0,54.0,5.0,0.0
Triathlon,27.9,164.0,165.0,51.0,53.0,1.0,2.0
Volleyball,24.4,173.0,186.0,60.0,72.0,13.0,12.0
Water Polo,25.2,171.0,171.0,64.0,65.0,0.0,1.0
Weightlifting,24.0,170.0,175.0,125.0,133.0,5.0,8.0
Wrestling,25.3,172.0,171.0,69.0,63.0,-1.0,-6.0
