Sport,Name,Sex,Age,Medal
Gymnastics,Mariya Kindrativna Horokhovska,F,30.0,7
Swimming,Kristin Otto,F,22.0,6
Cross Country Skiing,Manuela Di Centa,F,31.0,5
Speed Skating,"Cynthia Nicole ""Cindy"" Klassen",F,26.0,5
Cycling,"Leontine Martha Henrica Petronella ""Leontien"" Zijlaard-van Moorsel",F,30.0,4
Athletics,"Francina Elsje ""Fanny"" Blankers-Koen",F,30.0,4
Alpine Skiing,Janica Kosteli,F,20.0,4
Biathlon,"Ursula ""Uschi"" Disl",F,27.0,3
Canoeing,Danuta Kozk,F,29.0,3
Tennis,Suzanne Rachel Flore Lenglen,F,20.0,3
Short Track Speed Skating,Shim Seok-Hui,F,17.0,3
Archery,"Lida Peyton ""Eliza"" Pollock (McMillen-)",F,63.0,3
Rowing,Nicolette Hellemans (-van Berkel),F,22.0,2
Figure Skating,Meryl Elizabeth Davis,F,27.0,2
Luge,Natalie Geisenberger,F,26.0,2
Table Tennis,Chen Jing,F,19.0,2
Synchronized Swimming,Yukiko Inui,F,25.0,2
Badminton,Yu Yang,F,22.0,2
Equestrianism,"Liselott Linsenhoff (Schindling-, -Rheinberger)",F,28.0,2
Fencing,Sada Molly Jacobson (-Bby),F,25.0,2
Shooting,Anna Korakaki,F,20.0,2
Diving,Meaghan Benfeito,F,27.0,2
Sailing,Hlne de Pourtals (Barbey-),F,32.0,2
Skeleton,"Alexandrea Andrea ""Alex"" Coomber (Hamilton-)",F,28.0,1
Snowboarding,Daniela Meuli,F,24.0,1
Ski Jumping,Carina Vogt,F,22.0,1
Rugby Sevens,Emma Kate Tonegato,F,21.0,1
Ice Hockey,Sandra Thalmann,F,21.0,1
Judo,Alina Alexandra Dumitru (-Croitoru),F,25.0,1
Hockey,Sigrid Landgraf (-Bartels),F,25.0,1
Rhythmic Gymnastics,Anastasiya Vladimirovna Ivankova,F,20.0,1
Modern Pentathlon,Jeena Rubevska,F,28.0,1
Volleyball,Jelena Nikoli,F,34.0,1
Taekwondo,Luo Wei,F,21.0,1
Trampolining,"Rosannagh ""Rosie"" MacLennan",F,27.0,1
Triathlon,Susan Rene Williams (Bartholomew-),F,35.0,1
Water Polo,Victoria Brown,F,26.0,1
Weightlifting,Anastasiya Aleksandrovna Novikova,F,26.0,1
Wrestling,Iryna Oleksivna Merleni-Mykulchyn (Melnyk-),F,26.0,1
Softball,"Joanne ""Jo"" Brown (-Alchin)",F,28.0,1
Basketball,Olesya Ivanovna Barel,F,28.0,1
Beach Volleyball,Adriana Brando Behar,F,31.0,1
Curling,Trine Qvist,F,31.0,1
Boxing,Claressa Maria Shields,F,21.0,1
Bobsleigh,Ulrike Holzner,F,33.0,1
Alpinism,"Harriet Pauline ""Hettie"" Dyhrenfurth (Heyman-)",F,43.0,1
Art Competitions,Rosamund Mary Beatrice Fletcher,F,39.0,1
Handball,Anne Dorthe Tanderup,F,24.0,1
Freestyle Skiing,Ingrid Marie Lindgren,F,23.0,1
Golf,"Bo-Gyung ""Lydia"" Ko",F,19.0,1
Football,Julie Maurine Foudy,F,25.0,1
