Century,Medal,Age,Age,Age,Age,Height,Height,Height,Height,Weight,Weight,Weight,Weight
,,min,mean,max,count,min,mean,max,count,min,mean,max,count
20th,Gold,13.0,23.53,63.0,2205,136.0,170.67,210.0,2205,30.0,63.73,128.0,2205
20th,Silver,11.0,23.49,55.0,2193,136.0,170.56,204.0,2193,30.0,63.38,135.0,2193
20th,Bronze,12.0,23.95,69.0,2192,136.0,170.53,205.0,2192,30.0,63.46,136.0,2192
21st,Bronze,15.0,25.75,49.0,1574,137.0,170.65,203.0,1574,28.0,63.85,141.0,1574
21st,Gold,15.0,25.58,47.0,1538,137.0,171.49,203.0,1538,28.0,64.53,136.0,1538
21st,Silver,15.0,25.8,52.0,1538,142.0,171.22,202.0,1538,33.0,64.3,167.0,1538
19th,Bronze,20.0,30.2,41.0,5,175.34,175.34,175.34,5,70.7,70.7,70.7,5
19th,Gold,23.0,28.25,32.0,4,175.34,175.34,175.34,4,70.7,70.7,70.7,4
19th,Silver,23.0,26.53,32.0,4,175.34,175.34,175.34,4,70.7,70.7,70.7,4
